text,category
What kind of activities do you enjoy,generic
What kind of activities do you enjoy,generic
How do you like to start your day,generic
How do you like to start your day,generic
What are some of your favorite podcasts,generic
What are some of your favorite podcasts,generic
Have you learned anything new recently,generic
Have you learned anything new recently,generic
Which cities have you lived in,generic
Which cities have you lived in,generic
What do you think about virtual reality,generic
What do you think about virtual reality,generic
How do you stay active and fit,generic
How do you stay active and fit,generic
What's the best advice you've received,generic
What's the best advice you've received,generic
Do you follow any specific diet,generic
Do you follow any specific diet,generic
Can you describe your hometown,generic
Can you describe your hometown,generic
How do you manage stress,generic
How do you manage stress,generic
What's a unique skill you have,generic
What's a unique skill you have,generic
Have you tried any new recipes lately,generic
Have you tried any new recipes lately,generic
What's your daily routine like,generic
What's your daily routine like,generic
How do you spend your free time,generic
How do you spend your free time,generic
What are some goals you have,generic
What are some goals you have,generic
Can you share a funny story,generic
Can you share a funny story,generic
How do you prepare for the week ahead,generic
How do you prepare for the week ahead,generic
Which mobile apps do you use most,generic
Which mobile apps do you use most,generic
What's a recent achievement you're proud of,generic
What's a recent achievement you're proud of,generic
How do you keep up with current events,generic
How do you keep up with current events,generic
What's a favorite memory from childhood,generic
What's a favorite memory from childhood,generic
Do you have any unique collections,generic
Do you have any unique collections,generic
What's something you'd like to learn,generic
What's something you'd like to learn,generic
How do you typically spend your weekends,generic
How do you typically spend your weekends,generic
What's the best part of your day,generic
What's the best part of your day,generic
How do you like to unwind,generic
How do you like to unwind,generic
What are some of your favorite movies,generic
What are some of your favorite movies,generic
Have you visited any museums recently,generic
Have you visited any museums recently,generic
Which sports do you enjoy watching,generic
Which sports do you enjoy watching,generic
How do you stay motivated,generic
How do you stay motivated,generic
What's a fun activity you recommend,generic
What's a fun activity you recommend,generic
Do you have any favorite quotes,generic
Do you have any favorite quotes,generic
How do you usually celebrate holidays,generic
How do you usually celebrate holidays,generic
What kind of music do you enjoy,generic
What kind of music do you enjoy,generic
Can you recommend a good book,generic
Can you recommend a good book,generic
What's a new hobby you've picked up,generic
What's a new hobby you've picked up,generic
Have you attended any workshops lately,generic
Have you attended any workshops lately,generic
What kind of movies do you like,generic
What kind of movies do you like,generic
What's your go-to comfort food,generic
What's your go-to comfort food,generic
How do you like to spend your evenings,generic
How do you like to spend your evenings,generic
What kind of art do you appreciate,generic
What kind of art do you appreciate,generic
What's a favorite place to relax,generic
What's a favorite place to relax,generic
Have you participated in any sports,generic
Have you participated in any sports,generic
How do you keep your home organized,generic
How do you keep your home organized,generic
What's a memorable trip you've taken,generic
What's a memorable trip you've taken,generic
Can you share a useful life hack,generic
Can you share a useful life hack,generic
How do you stay productive,generic
How do you stay productive,generic
What's an interesting fact about you,generic
What's an interesting fact about you,generic
Have you joined any clubs or groups,generic
Have you joined any clubs or groups,generic
What's the last movie you watched,generic
What's the last movie you watched,generic
How do you like to spend your mornings,generic
How do you like to spend your mornings,generic
What's a unique place you've visited,generic
What's a unique place you've visited,generic
Do you have any family traditions,generic
Do you have any family traditions,generic
What do you enjoy doing outdoors,generic
What do you enjoy doing outdoors,generic
Have you taken any interesting classes,generic
Have you taken any interesting classes,generic
What do you do to stay healthy,generic
What do you do to stay healthy,generic
How do you balance work and life,generic
How do you balance work and life,generic
Can you share a travel tip,generic
Can you share a travel tip,generic
What are your favorite types of cuisine,generic
What are your favorite types of cuisine,generic
How do you celebrate special occasions,generic
How do you celebrate special occasions,generic
What kind of books do you enjoy,generic
What kind of books do you enjoy,generic
Have you tried any new sports recently,generic
Have you tried any new sports recently,generic
What's your approach to cooking,generic
What's your approach to cooking,generic
Do you have a favorite holiday destination,generic
Do you have a favorite holiday destination,generic
How do you like to decorate your home,generic
How do you like to decorate your home,generic
What's a unique skill you possess,generic
What's a unique skill you possess,generic
How do you like to spend rainy days,generic
How do you like to spend rainy days,generic
What's your go-to snack,generic
What's your go-to snack,generic
Can you describe your perfect day,generic
Can you describe your perfect day,generic
What's the most recent event you attended,generic
What's the most recent event you attended,generic
How do you plan your vacations,generic
How do you plan your vacations,generic
What's a new activity you've tried,generic
What's a new activity you've tried,generic
How do you keep your skills updated,generic
How do you keep your skills updated,generic
What's a goal you're working towards,generic
What's a goal you're working towards,generic
How do you handle challenges,generic
How do you handle challenges,generic
What's your daily routine,generic
What's your daily routine,generic
Have you read any good books lately,generic
Have you read any good books lately,generic
How do you like to celebrate milestones,generic
How do you like to celebrate milestones,generic
What's your favorite type of exercise,generic
What's your favorite type of exercise,generic
How do you like to spend your evenings,generic
How do you like to spend your evenings,generic
What's your morning routine,generic
What's your morning routine,generic
How do you unwind after a busy day,generic
How do you unwind after a busy day,generic
What's an interesting project you're working on,generic
What's an interesting project you're working on,generic
Can you share a travel experience,generic
Can you share a travel experience,generic
How do you stay organized,generic
How do you stay organized,generic
What's a fun way to spend a weekend,generic
What's a fun way to spend a weekend,generic
How do you keep yourself entertained,generic
How do you keep yourself entertained,generic
What's the best place you've traveled to,generic
What's the best place you've traveled to,generic
How do you stay connected with friends,generic
How do you stay connected with friends,generic
What's your approach to learning,generic
What's your approach to learning,generic
email the newsletter draft to the team,email
email the newsletter draft to the team,email
email the newsletter draft to the team,email
compose a congratulatory email for a colleague,email
compose a congratulatory email for a colleague,email
compose a congratulatory email for a colleague,email
ask for a project update via email,email
ask for a project update via email,email
ask for a project update via email,email
compose an email to the manager about the meeting changes,email
compose an email to the manager about the meeting changes,email
compose an email to the manager about the meeting changes,email
send a follow-up email to the client,email
send a follow-up email to the client,email
send a follow-up email to the client,email
draft an email to customer support about my refund,email
draft an email to customer support about my refund,email
draft an email to customer support about my refund,email
send a thank you email to my professor,email
send a thank you email to my professor,email
send a thank you email to my professor,email
email the HR about my leave application,email
email the HR about my leave application,email
email the HR about my leave application,email
send an inquiry to tech support,email
send an inquiry to tech support,email
send an inquiry to tech support,email
send a greeting email to the new team member,email
send a greeting email to the new team member,email
send a greeting email to the new team member,email
send an email to the dean of my school about how i'm struggling to get classes,email
send an email to the dean of my school about how i'm struggling to get classes,email
send an email to the dean of my school about how i'm struggling to get classes,email
can you write me an email to my boss asking if i can get rehired,email
can you write me an email to my boss asking if i can get rehired,email
can you write me an email to my boss asking if i can get rehired,email
would you mind sending an email to my friend asking when he'd like to hang out,email
would you mind sending an email to my friend asking when he'd like to hang out,email
would you mind sending an email to my friend asking when he'd like to hang out,email
draft an email to my boss about the meeting,email
draft an email to my boss about the meeting,email
draft an email to my boss about the meeting,email
send an email to john about the project update,email
send an email to john about the project update,email
send an email to john about the project update,email
draft an email to my boss about the meeting,email
draft an email to my boss about the meeting,email
draft an email to my boss about the meeting,email
send an email to john about the project update,email
send an email to john about the project update,email
send an email to john about the project update,email
compose a thank-you email to sarah,email
compose a thank-you email to sarah,email
compose a thank-you email to sarah,email
send a reminder email about the deadline,email
send a reminder email about the deadline,email
send a reminder email about the deadline,email
email the invitation to the event,email
email the invitation to the event,email
email the invitation to the event,email
draft an email to the support team about the issue,email
draft an email to the support team about the issue,email
draft an email to the support team about the issue,email
schedule an email to be sent tomorrow at 9 AM about the proposal,email
schedule an email to be sent tomorrow at 9 AM about the proposal,email
schedule an email to be sent tomorrow at 9 AM about the proposal,email
compose a follow-up email to the customer about their order,email
compose a follow-up email to the customer about their order,email
compose a follow-up email to the customer about their order,email
draft an email to my colleague about the presentation,email
draft an email to my colleague about the presentation,email
draft an email to my colleague about the presentation,email
send an email to jane about the event details,email
send an email to jane about the event details,email
send an email to jane about the event details,email
compose a congratulatory email to mike,email
compose a congratulatory email to mike,email
compose a congratulatory email to mike,email
send a follow-up email about the project status,email
send a follow-up email about the project status,email
send a follow-up email about the project status,email
email the agenda for the meeting,email
email the agenda for the meeting,email
email the agenda for the meeting,email
draft an email to the supplier about the order,email
draft an email to the supplier about the order,email
draft an email to the supplier about the order,email
send an email to hr about the new policy,email
send an email to hr about the new policy,email
send an email to hr about the new policy,email
compose a feedback email to the vendor,email
compose a feedback email to the vendor,email
compose a feedback email to the vendor,email
email the travel itinerary to the team,email
email the travel itinerary to the team,email
email the travel itinerary to the team,email
draft an email to the client about the deliverables,email
draft an email to the client about the deliverables,email
draft an email to the client about the deliverables,email
send an email to the developer about the bug report,email
send an email to the developer about the bug report,email
send an email to the developer about the bug report,email
compose a thank you email to the mentor,email
compose a thank you email to the mentor,email
compose a thank you email to the mentor,email
email the conference details to the attendees,email
email the conference details to the attendees,email
email the conference details to the attendees,email
draft an email to the customer service about the issue,email
draft an email to the customer service about the issue,email
draft an email to the customer service about the issue,email
send an email to marketing about the campaign,email
send an email to marketing about the campaign,email
send an email to marketing about the campaign,email
compose a reminder email for the appointment,email
compose a reminder email for the appointment,email
compose a reminder email for the appointment,email
email the training schedule to the employees,email
email the training schedule to the employees,email
email the training schedule to the employees,email
draft an email to the landlord about the lease,email
draft an email to the landlord about the lease,email
draft an email to the landlord about the lease,email
send an email to finance about the invoice,email
send an email to finance about the invoice,email
send an email to finance about the invoice,email
compose an update email about the construction project,email
compose an update email about the construction project,email
compose an update email about the construction project,email
email the software update details to the users,email
email the software update details to the users,email
email the software update details to the users,email
draft an email to the instructor about the homework,email
draft an email to the instructor about the homework,email
draft an email to the instructor about the homework,email
send an email to the board members about the meeting,email
send an email to the board members about the meeting,email
send an email to the board members about the meeting,email
compose an email to the neighbor about the noise,email
compose an email to the neighbor about the noise,email
compose an email to the neighbor about the noise,email
email the budget report to the manager,email
email the budget report to the manager,email
email the budget report to the manager,email
draft an email to the gym about the membership,email
draft an email to the gym about the membership,email
draft an email to the gym about the membership,email
send an email to the principal about the event,email
send an email to the principal about the event,email
send an email to the principal about the event,email
compose an email to the author about the book,email
compose an email to the author about the book,email
compose an email to the author about the book,email
email the new hire details to hr,email
email the new hire details to hr,email
email the new hire details to hr,email
draft an email to the professor about the research,email
draft an email to the professor about the research,email
draft an email to the professor about the research,email
play jazz music,spotify
play jazz music,spotify
play jazz music,spotify
play relaxing music for studying,spotify
play relaxing music for studying,spotify
play relaxing music for studying,spotify
start the party hits playlist,spotify
start the party hits playlist,spotify
start the party hits playlist,spotify
play the new song by coldplay,spotify
play the new song by coldplay,spotify
play the new song by coldplay,spotify
play the album by adele,spotify
play the album by adele,spotify
play the album by adele,spotify
shuffle the classic rock playlist,spotify
shuffle the classic rock playlist,spotify
shuffle the classic rock playlist,spotify
listen to the live concert playlist,spotify
listen to the live concert playlist,spotify
listen to the live concert playlist,spotify
start playing the workout playlist,spotify
start playing the workout playlist,spotify
start playing the workout playlist,spotify
shuffle my road trip songs,spotify
shuffle my road trip songs,spotify
shuffle my road trip songs,spotify
play top hits from 2020,spotify
play top hits from 2020,spotify
play top hits from 2020,spotify
can you shuffle vibes,spotify
can you shuffle vibes,spotify
can you shuffle vibes,spotify
i want to listen to tiktok made me do it,spotify
i want to listen to tiktok made me do it,spotify
i want to listen to tiktok made me do it,spotify
can you recommend me a song,spotify
can you recommend me a song,spotify
can you recommend me a song,spotify
would you mind playing death bed,spotify
would you mind playing death bed,spotify
would you mind playing death bed,spotify
id like to hear soda stream sky by powfu,spotify
id like to hear soda stream sky by powfu,spotify
id like to hear soda stream sky by powfu,spotify
can you play my favorite playlist,spotify
can you play my favorite playlist,spotify
can you play my favorite playlist,spotify
would you mind playing my playlist haribo,spotify
would you mind playing my playlist haribo,spotify
would you mind playing my playlist haribo,spotify
play my favorite playlist,spotify
play my favorite playlist,spotify
play my favorite playlist,spotify
Play my workout playlist.,spotify
Play my workout playlist.,spotify
Play my workout playlist.,spotify
Pause the music.,spotify
Pause the music.,spotify
Pause the music.,spotify
Skip to the next song.,spotify
Skip to the next song.,spotify
Skip to the next song.,spotify
play my workout playlist,spotify
play my workout playlist,spotify
play my workout playlist,spotify
pause the music,spotify
pause the music,spotify
pause the music,spotify
skip to the next song,spotify
skip to the next song,spotify
skip to the next song,spotify
what's the current song playing,spotify
what's the current song playing,spotify
what's the current song playing,spotify
add this song to my favorites,spotify
add this song to my favorites,spotify
add this song to my favorites,spotify
play some relaxing music,spotify
play some relaxing music,spotify
play some relaxing music,spotify
play my chill playlist,spotify
play my chill playlist,spotify
play my chill playlist,spotify
turn on the party mix,spotify
turn on the party mix,spotify
turn on the party mix,spotify
lower the volume,spotify
lower the volume,spotify
lower the volume,spotify
raise the volume,spotify
raise the volume,spotify
raise the volume,spotify
play classical music,spotify
play classical music,spotify
play classical music,spotify
play my favorites playlist,spotify
play my favorites playlist,spotify
play my favorites playlist,spotify
add this song to my workout playlist,spotify
add this song to my workout playlist,spotify
add this song to my workout playlist,spotify
what's playing on spotify,spotify
what's playing on spotify,spotify
what's playing on spotify,spotify
shuffle my liked songs,spotify
shuffle my liked songs,spotify
shuffle my liked songs,spotify
play music similar to this song,spotify
play music similar to this song,spotify
play music similar to this song,spotify
play my driving playlist,spotify
play my driving playlist,spotify
play my driving playlist,spotify
start the radio for this artist,spotify
start the radio for this artist,spotify
start the radio for this artist,spotify
play some hip-hop,spotify
play some hip-hop,spotify
play some hip-hop,spotify
play my study playlist,spotify
play my study playlist,spotify
play my study playlist,spotify
play the song Shape of You by Ed Sheeran,spotify
play the song Shape of You by Ed Sheeran,spotify
play the song Shape of You by Ed Sheeran,spotify
play the album 1989 by Taylor Swift,spotify
play the album 1989 by Taylor Swift,spotify
play the album 1989 by Taylor Swift,spotify
play the playlist Top Hits USA,spotify
play the playlist Top Hits USA,spotify
play the playlist Top Hits USA,spotify
play music by Billie Eilish,spotify
play music by Billie Eilish,spotify
play music by Billie Eilish,spotify
play the song Blinding Lights by The Weeknd,spotify
play the song Blinding Lights by The Weeknd,spotify
play the song Blinding Lights by The Weeknd,spotify
play the album Abbey Road by The Beatles,spotify
play the album Abbey Road by The Beatles,spotify
play the album Abbey Road by The Beatles,spotify
play the playlist Summer Vibes,spotify
play the playlist Summer Vibes,spotify
play the playlist Summer Vibes,spotify
play music by Drake,spotify
play music by Drake,spotify
play music by Drake,spotify
play the song Bad Guy by Billie Eilish,spotify
play the song Bad Guy by Billie Eilish,spotify
play the song Bad Guy by Billie Eilish,spotify
play the album Thriller by Michael Jackson,spotify
play the album Thriller by Michael Jackson,spotify
play the album Thriller by Michael Jackson,spotify
play the playlist Chill Hits,spotify
play the playlist Chill Hits,spotify
play the playlist Chill Hits,spotify
play music by Ariana Grande,spotify
play music by Ariana Grande,spotify
play music by Ariana Grande,spotify
tell me the temperature for the weekend,weather
tell me the temperature for the weekend,weather
tell me the temperature for the weekend,weather
is it cloudy today,weather
is it cloudy today,weather
is it cloudy today,weather
will it snow tomorrow,weather
will it snow tomorrow,weather
will it snow tomorrow,weather
is it sunny in miami right now,weather
is it sunny in miami right now,weather
is it sunny in miami right now,weather
what is the humidity like outside,weather
what is the humidity like outside,weather
what is the humidity like outside,weather
how hot is it outside right now,weather
how hot is it outside right now,weather
how hot is it outside right now,weather
what's the forecast for next week,weather
what's the forecast for next week,weather
what's the forecast for next week,weather
how cold will it be tonight,weather
how cold will it be tonight,weather
how cold will it be tonight,weather
do i need an umbrella for today,weather
do i need an umbrella for today,weather
do i need an umbrella for today,weather
is it going to rain today,weather
is it going to rain today,weather
is it going to rain today,weather
could you tell me what the weather will be like over the next 4 days,weather
could you tell me what the weather will be like over the next 4 days,weather
could you tell me what the weather will be like over the next 4 days,weather
what's the weather like today,weather
what's the weather like today,weather
what's the weather like today,weather
what will the weather be in 3 days,weather
what will the weather be in 3 days,weather
what will the weather be in 3 days,weather
what's the weather like tomorrow,weather
what's the weather like tomorrow,weather
what's the weather like tomorrow,weather
i'd like to hear the weather report for the next 2 days,weather
i'd like to hear the weather report for the next 2 days,weather
i'd like to hear the weather report for the next 2 days,weather
will it precipitate soon,weather
will it precipitate soon,weather
will it precipitate soon,weather
will there be any precipitation tomorrow,weather
will there be any precipitation tomorrow,weather
will there be any precipitation tomorrow,weather
whats the weather like right now,weather
whats the weather like right now,weather
whats the weather like right now,weather
will it rain tomorrow,weather
will it rain tomorrow,weather
will it rain tomorrow,weather
what's the weather like in new york today,weather
what's the weather like in new york today,weather
what's the weather like in new york today,weather
show me the weather forecast for the weekend,weather
show me the weather forecast for the weekend,weather
show me the weather forecast for the weekend,weather
do i need an umbrella today,weather
do i need an umbrella today,weather
do i need an umbrella today,weather
is it going to be sunny this afternoon,weather
is it going to be sunny this afternoon,weather
is it going to be sunny this afternoon,weather
what's the temperature right now,weather
what's the temperature right now,weather
what's the temperature right now,weather
how windy is it outside,weather
how windy is it outside,weather
how windy is it outside,weather
will it snow this week,weather
will it snow this week,weather
will it snow this week,weather
what's the weather for next monday,weather
what's the weather for next monday,weather
what's the weather for next monday,weather
how hot will it get today,weather
how hot will it get today,weather
how hot will it get today,weather
what's the weather like in los angeles today,weather
what's the weather like in los angeles today,weather
what's the weather like in los angeles today,weather
how's the weather in chicago right now,weather
how's the weather in chicago right now,weather
how's the weather in chicago right now,weather
what's the forecast for tomorrow,weather
what's the forecast for tomorrow,weather
what's the forecast for tomorrow,weather
is it raining right now,weather
is it raining right now,weather
is it raining right now,weather
will it be cloudy today,weather
will it be cloudy today,weather
will it be cloudy today,weather
what's the high for today,weather
what's the high for today,weather
what's the high for today,weather
what's the low for tonight,weather
what's the low for tonight,weather
what's the low for tonight,weather
how's the weather looking this weekend,weather
how's the weather looking this weekend,weather
how's the weather looking this weekend,weather
do i need a jacket today,weather
do i need a jacket today,weather
do i need a jacket today,weather
is there a storm coming,weather
is there a storm coming,weather
is there a storm coming,weather
what's the humidity level today,weather
what's the humidity level today,weather
what's the humidity level today,weather
will it be windy tomorrow,weather
will it be windy tomorrow,weather
will it be windy tomorrow,weather
what's the weather like at the beach,weather
what's the weather like at the beach,weather
what's the weather like at the beach,weather
will it be foggy this morning,weather
will it be foggy this morning,weather
will it be foggy this morning,weather
what's the weather like at the airport,weather
what's the weather like at the airport,weather
what's the weather like at the airport,weather
is there a weather advisory today,weather
is there a weather advisory today,weather
is there a weather advisory today,weather
what's the uv index today,weather
what's the uv index today,weather
what's the uv index today,weather
will it be hot tomorrow,weather
will it be hot tomorrow,weather
will it be hot tomorrow,weather
how's the weather in san francisco today,weather
how's the weather in san francisco today,weather
how's the weather in san francisco today,weather
will it cool down tonight,weather
will it cool down tonight,weather
will it cool down tonight,weather
what's the temperature at noon,weather
what's the temperature at noon,weather
what's the temperature at noon,weather
is it snowing right now,weather
is it snowing right now,weather
is it snowing right now,weather
will it be warm this weekend,weather
will it be warm this weekend,weather
will it be warm this weekend,weather
is it safe to go outside,weather
is it safe to go outside,weather
is it safe to go outside,weather
what's the weather in my hometown,weather
what's the weather in my hometown,weather
what's the weather in my hometown,weather
what's the dew point today,weather
what's the dew point today,weather
what's the dew point today,weather
hey if you aren't too busy could you open opera,launch
hey if you aren't too busy could you open opera,launch
hey if you aren't too busy could you open opera,launch
hey if you aren't too busy could you open apex legends,launch
hey if you aren't too busy could you open apex legends,launch
hey if you aren't too busy could you open apex legends,launch
hey if you aren't too busy could you open call of duty,launch
hey if you aren't too busy could you open call of duty,launch
hey if you aren't too busy could you open call of duty,launch
hey if you aren't too busy could you open the adobe photoshop app,launch
hey if you aren't too busy could you open the adobe photoshop app,launch
hey if you aren't too busy could you open the adobe photoshop app,launch
could you be a doll and start vlc music player,launch
could you be a doll and start vlc music player,launch
could you be a doll and start vlc music player,launch
open the windows settings,launch
open the windows settings,launch
open the windows settings,launch
do me a favor and open my file explorer,launch
do me a favor and open my file explorer,launch
do me a favor and open my file explorer,launch
please launch the uber app,launch
please launch the uber app,launch
please launch the uber app,launch
can you open lyft,launch
can you open lyft,launch
can you open lyft,launch
would you mind launching the duolingo app,launch
would you mind launching the duolingo app,launch
would you mind launching the duolingo app,launch
could you start adobe after effects,launch
could you start adobe after effects,launch
could you start adobe after effects,launch
hey can you launch the airbnb app,launch
hey can you launch the airbnb app,launch
hey can you launch the airbnb app,launch
start shopify,launch
start shopify,launch
start shopify,launch
do me a favor and fire up youtube,launch
do me a favor and fire up youtube,launch
do me a favor and fire up youtube,launch
do me a favor and fire up docker,launch
do me a favor and fire up docker,launch
do me a favor and fire up docker,launch
do me a favor and fire up blender,launch
do me a favor and fire up blender,launch
do me a favor and fire up blender,launch
would you mind to open netflix,launch
would you mind to open netflix,launch
would you mind to open netflix,launch
could you possibly start the steam application,launch
could you possibly start the steam application,launch
could you possibly start the steam application,launch
could you consider starting the zoom application,launch
could you consider starting the zoom application,launch
could you consider starting the zoom application,launch
would you mind starting the notepad application,launch
would you mind starting the notepad application,launch
would you mind starting the notepad application,launch
open amazon,launch
open amazon,launch
open amazon,launch
run logitch g hub,launch
run logitch g hub,launch
run logitch g hub,launch
launch adobe premiere pro,launch
launch adobe premiere pro,launch
launch adobe premiere pro,launch
run apple music application,launch
run apple music application,launch
run apple music application,launch
start onedrive,launch
start onedrive,launch
start onedrive,launch
open the slack app,launch
open the slack app,launch
open the slack app,launch
start hbo max,launch
start hbo max,launch
start hbo max,launch
i want to use the snipping tool,launch
i want to use the snipping tool,launch
i want to use the snipping tool,launch
i'd like to use adobe premier pro,launch
i'd like to use adobe premier pro,launch
i'd like to use adobe premier pro,launch
i want to use blender,launch
i want to use blender,launch
i want to use blender,launch
i want to use the snipping tool,launch
i want to use the snipping tool,launch
i want to use the snipping tool,launch
i'd like to use microsoft word,launch
i'd like to use microsoft word,launch
i'd like to use microsoft word,launch
i'd like to use the microsoft office app,launch
i'd like to use the microsoft office app,launch
i'd like to use the microsoft office app,launch
i'd like to use the netflix app,launch
i'd like to use the netflix app,launch
i'd like to use the netflix app,launch
can i use photoshop,launch
can i use photoshop,launch
can i use photoshop,launch
please let me use the spotify app,launch
please let me use the spotify app,launch
please let me use the spotify app,launch
would you allow me to use powerpoint,launch
would you allow me to use powerpoint,launch
would you allow me to use powerpoint,launch
may i use the vlc media player,launch
may i use the vlc media player,launch
may i use the vlc media player,launch
i need to use google chrome,launch
i need to use google chrome,launch
i need to use google chrome,launch
can i use the zoom application,launch
can i use the zoom application,launch
can i use the zoom application,launch
do you mind if i use skype,launch
do you mind if i use skype,launch
do you mind if i use skype,launch
i have to use microsoft teams,launch
i have to use microsoft teams,launch
i have to use microsoft teams,launch
let me use the gmail app,launch
let me use the gmail app,launch
let me use the gmail app,launch
can i use word,launch
can i use word,launch
can i use word,launch
i need to use zoom,launch
i need to use zoom,launch
i need to use zoom,launch
let me use excel,launch
let me use excel,launch
let me use excel,launch
may i use spotify,launch
may i use spotify,launch
may i use spotify,launch
can i use chrome,launch
can i use chrome,launch
can i use chrome,launch
help me use teams,launch
help me use teams,launch
help me use teams,launch
please use skype,launch
please use skype,launch
please use skype,launch
want to use netflix,launch
want to use netflix,launch
want to use netflix,launch
use vlc player,launch
use vlc player,launch
use vlc player,launch
use gmail now,launch
use gmail now,launch
use gmail now,launch